region,year,crop,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),2010,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2011,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2012,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2013,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2014,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2015,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2016,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2017,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2018,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2019,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2020,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2000,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2001,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2002,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2003,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2004,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2005,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2006,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2007,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2008,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2009,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2010,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2011,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2012,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2013,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2014,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2015,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2016,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2017,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2018,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2019,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2020,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2021,сельскохозяйственные организации (все сельхозпредприятия),,,
Агинский Бурятский округ (Забайкальский край),2022,сельскохозяйственные организации (все сельхозпредприятия),,,
Алтайский край,2000,горох,16.7,63.62,1044.31
Алтайский край,2001,горох,18.4,83.76,1511.43
Алтайский край,2002,горох,14.2,101.53,1391.7
Алтайский край,2003,горох,10.8,97.24,958.93
Алтайский край,2004,горох,12.9,93.0,1186.63
Алтайский край,2005,горох,7.6,108.29,774.01
Алтайский край,2006,горох,11.0,78.44,841.36
Алтайский край,2007,горох,14.4,75.97,1078.1
Алтайский край,2008,горох,12.2,94.1,1074.41
Алтайский край,2009,горох,15.1,115.7,1717.34
Алтайский край,2010,горох,14.8,113.95,1654.59
Алтайский край,2011,горох,12.2,134.59,1599.22
Алтайский край,2012,горох,9.4,136.84,1135.49
Алтайский край,2013,горох,13.4,112.77,1413.66
Алтайский край,2014,горох,10.3,99.8,978.6
Алтайский край,2015,горох,12.5,95.1,1179.5
Алтайский край,2016,горох,15.7,100.03,1539.77
Алтайский край,2017,горох,16.0,103.37,1609.19
Алтайский край,2018,горох,17.8,92.34,1625.05
Алтайский край,2019,горох,20.4,81.52,1653.75
Алтайский край,2020,горох,15.5,100.54,1542.99
Алтайский край,2021,горох,21.6,117.52,2525.21
Алтайский край,2022,горох,23.19,126.21,2923.94
Алтайский край,2023,горох,17.28,147.61,
Алтайский край,2024,горох,15.72,156.1,
Алтайский край,2025,горох,,148.43,
Алтайский край,2000,зерновые и зернобобовые культуры,13.8,3414.99,44081.35
Алтайский край,2001,зерновые и зернобобовые культуры,13.4,3661.99,47980.59
Алтайский край,2002,зерновые и зернобобовые культуры,13.0,3728.36,47498.71
Алтайский край,2003,зерновые и зернобобовые культуры,10.9,3427.81,32318.03
Алтайский край,2004,зерновые и зернобобовые культуры,10.9,3436.14,36061.93
Алтайский край,2005,зерновые и зернобобовые культуры,8.8,3609.23,29525.98
Алтайский край,2006,зерновые и зернобобовые культуры,10.4,3414.95,35195.08
Алтайский край,2007,зерновые и зернобобовые культуры,13.2,3576.55,47005.06
Алтайский край,2008,зерновые и зернобобовые культуры,11.3,3781.67,38575.43
Алтайский край,2009,зерновые и зернобобовые культуры,15.3,3803.97,56279.04
Алтайский край,2010,зерновые и зернобобовые культуры,12.8,3393.56,42407.91
Алтайский край,2011,зерновые и зернобобовые культуры,11.3,3628.32,39194.95
Алтайский край,2012,зерновые и зернобобовые культуры,8.4,3538.06,25167.62
Алтайский край,2013,зерновые и зернобобовые культуры,14.2,3536.19,49260.87
Алтайский край,2014,зерновые и зернобобовые культуры,11.2,3717.01,32949.24
Алтайский край,2015,зерновые и зернобобовые культуры,11.0,3632.1,39404.17
Алтайский край,2016,зерновые и зернобобовые культуры,13.4,3646.22,48297.35
Алтайский край,2017,зерновые и зернобобовые культуры,14.1,3746.32,49755.11
Алтайский край,2018,зерновые и зернобобовые культуры,15.6,3240.38,50107.5
Алтайский край,2019,зерновые и зернобобовые культуры,14.6,3169.04,45916.92
Алтайский край,2020,зерновые и зернобобовые культуры,12.6,3289.34,39510.71
