region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2022,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2023,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2024,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2025,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2000,36.7,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2001,58.4,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2002,33.0,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2003,40.1,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2004,45.6,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2005,82.9,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2006,95.7,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2007,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2008,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2009,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2010,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2011,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2012,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2013,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2014,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2015,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2016,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2017,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2018,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2019,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2020,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2021,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2022,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2023,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2024,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2025,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2000,44.1,,
Агинский Бурятский округ (Забайкальский край),огурцы,2001,36.9,,
Агинский Бурятский округ (Забайкальский край),огурцы,2002,35.9,,
Агинский Бурятский округ (Забайкальский край),огурцы,2003,34.2,,
Агинский Бурятский округ (Забайкальский край),огурцы,2004,40.6,,
Агинский Бурятский округ (Забайкальский край),огурцы,2005,57.7,,
Агинский Бурятский округ (Забайкальский край),огурцы,2006,56.6,,
Агинский Бурятский округ (Забайкальский край),огурцы,2007,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2008,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2009,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2010,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2011,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2012,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2013,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2014,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2015,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2016,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2017,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2018,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2019,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2020,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2021,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2022,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2023,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2024,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2025,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2000,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2001,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2002,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2003,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2004,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2005,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2006,,0.0,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2007,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2008,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2009,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2010,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2011,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2012,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2013,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2014,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2015,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2016,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2017,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2018,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2019,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2020,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2021,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2022,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2023,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2024,,,
Агинский Бурятский округ (Забайкальский край),озимые зерновые культуры,2025,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2000,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2001,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2002,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2003,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2004,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2005,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2006,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2007,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2008,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2009,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2010,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2011,,,
